event,language,accuracy,precision,recall,f1_score,auc_roc,test_sample,training_sample,total_sample,model_filename,vectorizer_filename,up_accuracy,down_accuracy,total_up,total_down,correct_up,correct_down,up_predictions_pct,down_predictions_pct
mergers_acquisitions,en,0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579,0.5714285714285714,12,44,56.0,C:\Users\HP\Desktop\finespresso-modelling\models\mergers_acquisitions_classifier_binary.joblib,C:\Users\HP\Desktop\finespresso-modelling\models\mergers_acquisitions_tfidf_vectorizer_binary.joblib,100.0,0.0,7,5,7,0,100.0,0.0
product_services_announcement,en,0.55,1.0,0.1,0.18181818181818182,0.55,20,77,97.0,C:\Users\HP\Desktop\finespresso-modelling\models\product_services_announcement_classifier_binary.joblib,C:\Users\HP\Desktop\finespresso-modelling\models\product_services_announcement_tfidf_vectorizer_binary.joblib,10.0,100.0,10,10,1,10,5.0,95.0
changes_in_companys_own_shares,en,0.5454545454545454,0.5454545454545454,1.0,0.7058823529411765,0.5,11,41,52.0,C:\Users\HP\Desktop\finespresso-modelling\models\changes_in_companys_own_shares_classifier_binary.joblib,C:\Users\HP\Desktop\finespresso-modelling\models\changes_in_companys_own_shares_tfidf_vectorizer_binary.joblib,100.0,0.0,6,5,6,0,100.0,0.0
clinical_study,en,0.5348837209302325,0.5240963855421686,0.9886363636363636,0.6850393700787402,0.545792748917749,172,685,857.0,C:\Users\HP\Desktop\finespresso-modelling\models\clinical_study_classifier_binary.joblib,C:\Users\HP\Desktop\finespresso-modelling\models\clinical_study_tfidf_vectorizer_binary.joblib,98.86363636363636,5.952380952380952,88,84,87,5,96.51162790697676,3.488372093023256
regulatory_filings,en,0.5333333333333333,0.5333333333333333,1.0,0.6956521739130435,0.5,15,57,72.0,C:\Users\HP\Desktop\finespresso-modelling\models\regulatory_filings_classifier_binary.joblib,C:\Users\HP\Desktop\finespresso-modelling\models\regulatory_filings_tfidf_vectorizer_binary.joblib,100.0,0.0,8,7,8,0,100.0,0.0
all_events,en,0.5151515151515151,0.5056179775280899,0.9712230215827338,0.6650246305418719,0.5364033861250223,561,2241,2802.0,C:\Users\HP\Desktop\finespresso-modelling\models\all_events_classifier_binary.joblib,C:\Users\HP\Desktop\finespresso-modelling\models\all_events_tfidf_vectorizer_binary.joblib,97.12230215827337,6.713780918727916,278,283,270,19,95.18716577540107,4.81283422459893
partnerships,en,0.5,0.46153846153846156,1.0,0.631578947368421,0.7083333333333333,14,55,69.0,C:\Users\HP\Desktop\finespresso-modelling\models\partnerships_classifier_binary.joblib,C:\Users\HP\Desktop\finespresso-modelling\models\partnerships_tfidf_vectorizer_binary.joblib,100.0,12.5,6,8,6,1,92.85714285714286,7.142857142857142
geographic_expansion,en,0.5,0.5,1.0,0.6666666666666666,0.5,4,15,19.0,C:\Users\HP\Desktop\finespresso-modelling\models\geographic_expansion_classifier_binary.joblib,C:\Users\HP\Desktop\finespresso-modelling\models\geographic_expansion_tfidf_vectorizer_binary.joblib,100.0,0.0,2,2,2,0,100.0,0.0
financial_results,en,0.3548387096774194,0.3548387096774194,1.0,0.5238095238095238,0.5454545454545454,31,123,154.0,C:\Users\HP\Desktop\finespresso-modelling\models\financial_results_classifier_binary.joblib,C:\Users\HP\Desktop\finespresso-modelling\models\financial_results_tfidf_vectorizer_binary.joblib,100.0,0.0,11,20,11,0,100.0,0.0
dividend_reports_and_estimates,en,0.3333333333333333,0.0,0.0,0.0,0.5,3,11,14.0,C:\Users\HP\Desktop\finespresso-modelling\models\dividend_reports_and_estimates_classifier_binary.joblib,C:\Users\HP\Desktop\finespresso-modelling\models\dividend_reports_and_estimates_tfidf_vectorizer_binary.joblib,0.0,100.0,2,1,0,1,0.0,100.0
