Column,Unique Values
news_id,1948
ticker_url,391
title,1719
content,1802
link,1928
company,581
event,58
reason,1902
publisher,10
industry,101
publisher_topic,107
instrument_id,471
yf_ticker,513
published_date_gmt,1676
timezone,6
publisher_summary,553
predicted_side,2
predicted_move,1754
language,17
actual_side,2
market,2
