Column,Unique Values
news_id,2129
ticker_url,403
title,1867
content,1970
link,2108
company,603
event,60
reason,2077
publisher,10
industry,103
publisher_topic,111
instrument_id,484
yf_ticker,532
published_date_gmt,1826
timezone,6
publisher_summary,601
predicted_side,2
predicted_move,1904
language,17
actual_side,2
market,2
